Id;Nome_Breve;Nome;R;Ruolo_Esteso;Qt.A;Qt.I;Qt.M;Diff.M;Squadra;FVM;FVM.M;Piede;Nazionalita;DataNascita;PhotoURL;Extra1;Extra2;Extra3;Pv;Mv;Fm;Gf;Ass;Amm;Esp
7156;Pieragnolo;Pieragnolo;D;"Ds;E";1;2;1;1;Sassuolo;8.0;1;sinistro;Italia;03/01/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/7156.png?v=647;;;;0;0.0;6.0;0;0;0;0
7196;Denoon;Denoon;D;Dc;1;2;;;Pisa;8.0;;;;;;;;;2;5.5;5.25;0;0;1;0
6985;Candè;Candè;D;"Ds;Dc";1;6;3;3;Sassuolo;24.2;14;sinistro;"Guinea-Bissau;Portogallo";24/01/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6985.png?v=647;;;;8;5.69;5.56;0;0;2;0
7238;Kouadio;Kouadio;D;Dc;1;1;3;3;Fiorentina;9.3;10;destro;"Italia;Costa d''Avorio";07/05/2006 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/7238.png?v=647;;;;1;6.0;6.0;0;0;0;0
6870;Faye;Faye;D;Dc;1;4;;;Cremonese;16.8;;;;;;;;;7;5.71;5.64;0;0;1;0
7271;Odogu;Odogu;D;Dc;1;2;;;Milan;8.0;;;;;;;;;0;0.0;6.0;0;0;0;0
388;Albiol;Albiol;D;Dc;1;5;;;Pisa;21.2;;;;;;;;;8;5.62;5.69;0;1;1;0
7325;Bozhinov;Bozhinov;D;Dc;1;2;;;Pisa;8.0;;;;;;;;;8;5.25;5.06;0;0;1;1
7346;Raterink;Raterink;D;"Dd;E";1;1;1;1;Cagliari;1.0;1;destro;Olanda;07/04/2006 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/7346.png?v=647;;;;0;0.0;0.0;0;0;0;0
6875;Paz N.;Paz N.;C;"T;A";26;20;28;28;Como;315.6;250;sinistro;"Argentina;Spagna";08/09/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6875.png?v=647;;;;35;6.37;7.3;12;5;5;0
4777;McTominay;McTominay;C;"C;T";25;26;28;28;Napoli;311.3;240;destro;"Scozia;Inghilterra";08/12/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4777.png?v=647;;;;33;6.39;7.26;10;2;1;0
7126;Baturina;Baturina;C;T;24;9;18;18;Como;282.3;100;destro;Croazia;16/02/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/7126.png?v=647;;;;25;6.3;7.14;6;3;0;0
2194;Calhanoglu;Calhanoglu;C;"M;C";24;23;28;28;Inter;339.0;260;destro;"Turchia;Germania";08/02/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2194.png?v=647;;;;22;6.52;7.64;9;4;7;0
2423;Pulisic;Pulisic;C;"T;A";24;28;23;23;Milan;309.1;180;destro;"Stati Uniti;Croazia";18/09/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2423.png?v=647;;;;27;6.15;7.07;8;4;0;0
2379;Rabiot;Rabiot;C;"C;T";23;23;22;22;Milan;258.9;128;sinistro;Francia;03/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2379.png?v=647;;;;29;6.33;6.98;6;4;4;1
2517;De Bruyne;De Bruyne;C;T;21;23;14;14;Napoli;284.0;95;destro;Belgio;28/06/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2517.png?v=647;;;;17;6.26;7.24;5;2;1;0
5559;Da Cunha;Da Cunha;C;"C;W;T";20;12;18;18;Como;227.6;90;sinistro;"Francia;Portogallo";09/06/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5559.png?v=647;;;;35;6.34;6.91;6;4;4;0
152;Zielinski;Zielinski;C;"C;T";20;4;10;10;Inter;218.7;41;destro;Polonia;20/05/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/152.png?v=647;;;;30;6.25;6.8;6;2;3;0
6908;Atta;Atta;C;C;20;6;17;17;Udinese;187.6;87;destro;"Francia;Benin";14/01/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6908.png?v=647;;;;32;6.36;6.88;5;3;3;0
2167;Orsolini;Orsolini;C;"W;A";19;30;25;25;Bologna;299.6;200;sinistro;Italia;24/01/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2167.png?v=647;;;;34;6.06;6.76;10;1;2;0
2766;Zaniolo;Zaniolo;C;"T;A";19;11;17;17;Udinese;173.3;100;sinistro;Italia;02/07/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2766.png?v=647;;;;31;6.26;6.77;5;5;8;0
1870;Barella;Barella;C;C;18;14;17;17;Inter;195.1;80;destro;Italia;07/02/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/1870.png?v=647;;;;34;6.28;6.71;3;9;7;0
4973;McKennie;McKennie;C;"M;C";18;10;17;17;Juventus;193.0;68;destro;Stati Uniti;28/08/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4973.png?v=647;;;;34;6.13;6.68;5;6;5;0
6884;Conceicao;Conceicao;C;"W;A";18;18;11;11;Juventus;194.4;60;sinistro;Portogallo;14/12/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6884.png?v=647;;;;30;6.28;6.7;3;5;3;0
2606;Modric;Modric;C;C;18;12;13;13;Milan;192.3;60;ambidestro;Croazia;09/09/1985 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2606.png?v=647;;;;33;6.45;6.67;2;3;4;0
1933;Mandragora;Mandragora;C;"M;C";17;14;9;9;Fiorentina;180.4;28;sinistro;Italia;29/06/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/1933.png?v=647;;;;34;6.04;6.62;7;2;7;0
6717;Konè I.;Konè I.;C;"M;C";17;6;9;9;Sassuolo;150.9;20;destro;"Canada;Costa d''Avorio";16/06/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6717.png?v=647;;;;35;6.19;6.63;6;0;3;1
5687;Vlasic;Vlasic;C;T;17;15;13;13;Torino;152.6;77;destro;Croazia;04/10/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5687.png?v=647;;;;37;6.03;6.66;8;3;7;0
6151;Perrone;Perrone;C;"M;C";16;8;11;11;Como;162.6;41;sinistro;Argentina;07/01/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6151.png?v=647;;;;36;6.22;6.47;3;4;8;0
4970;Messias;Messias;C;"C;W";16;8;3;3;Genoa;146.8;8;sinistro;Brasile;13/05/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4970.png?v=647;;;;19;6.18;6.68;3;1;1;0
6398;Isaksen;Isaksen;C;"W;A";16;14;8;8;Lazio;172.7;23;ambidestro;Danimarca;19/04/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6398.png?v=647;;;;27;6.04;6.63;5;1;0;0
4427;Malinovskyi;Malinovskyi;C;"C;T";15;8;;;Genoa;132.0;;;;;;;;;34;6.07;6.54;6;3;10;0
4892;Saelemaekers;Saelemaekers;C;"E;W";15;12;11;11;Milan;150.8;45;destro;Belgio;27/06/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4892.png?v=647;;;;35;6.14;6.41;3;3;5;0
4220;Zambo Anguissa;Zambo Anguissa;C;"M;C";15;15;11;11;Napoli;181.5;54;destro;Camerun;16/11/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4220.png?v=647;;;;18;6.17;6.86;4;1;1;0
6666;Bernabè;Bernabè;C;C;15;11;7;7;Parma;129.0;36;sinistro;Spagna;26/05/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6666.png?v=647;;;;32;6.17;6.48;3;1;0;0
5844;Thorstvedt;Thorstvedt;C;"C;T";15;8;10;10;Sassuolo;129.0;41;sinistro;Norvegia;13/03/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5844.png?v=647;;;;31;6.15;6.48;4;3;9;0
6844;Rowe;Rowe;C;"W;T";15;14;11;11;Bologna;161.6;40;destro;Inghilterra;30/04/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6844.png?v=647;;;;28;6.2;6.59;3;3;2;0
5422;Zalewski;Zalewski;C;"E;W";14;6;5;5;Atalanta;141.9;19;destro;Polonia;23/01/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5422.png?v=647;;;;31;6.1;6.4;2;5;3;0
2529;Mkhitaryan;Mkhitaryan;C;"C;T";14;9;5;5;Inter;153.2;19;ambidestro;Armenia;21/01/1989 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2529.png?v=647;;;;28;6.21;6.59;4;1;5;0
